着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,1,ララクリュサオル,牡5,57,中井裕二,1:10.3,,3.4,1,496(-2),[西] 辻野泰之
2,2,3,カネコメアサヒ,牡5,53,川又賢治,1:10.6,2,46.1,11,434(-8),[西] 中尾秀正
3,4,7,キモンブラウン,牝3,53,嶋田純次,1:10.8,1.1/4,7.2,4,452(-2),[東] 手塚貴久
4,3,4,ジェットマックス,牡4,55,松本大輝,1:10.8,クビ,22.1,8,512(+2),[西] 森秀行
5,3,5,フリード,牝3,52,津村明秀,1:10.9,クビ,6.3,3,506(0),[西] 西園正都
6,6,10,カーンテソーロ,牡5,53,亀田温心,1:11.0,1/2,41.8,9,500(+2),[東] 加藤和宏
7,4,6,ヴァガボンド,牡3,54,菱田裕二,1:11.1,1/2,4.4,2,474(+10),[西] 清水久詞
8,8,14,メイショウヒボタン,牝7,52,秋山真一,1:11.1,クビ,56.6,12,458(0),[西] 藤沢則雄
9,5,8,ハナブショウ,牝5,52,横山琉人,1:11.2,クビ,44.1,10,468(+12),[東] 相沢郁
10,7,12,グーテンモルゲン,牡5,54,富田暁,1:11.3,3/4,7.7,5,522(+4),[西] 牧田和弥
11,8,15,イディオム,牡3,53,丹内祐次,1:11.3,アタマ,14.6,7,492(+4),[東] 斎藤誠
12,2,2,ショウナンバサロ,牡3,53,菅原明良,1:11.5,1.1/4,13.2,6,480(+10),[西] 吉村圭司
13,6,11,コラード,牡6,52,小崎綾也,1:11.7,1.1/4,199.4,15,488(+2),[西] 木原一良
14,5,9,スイートアリエス,牝3,51,原優介,1:11.8,1/2,109.7,14,458(-4),[東] 青木孝文
15,7,13,ミラクルチューン,牝5,52,秋山稔樹,1:12.2,2.1/2,58.2,13,492(+6),[西] 大根田裕
