着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,1,ブラックダンサー,牝5,55,岩田康誠,1:08.6,,9.2,6,490(0),[西] 高野友和
2,6,11,インザムービー,牝4,55,亀田温心,1:08.8,1.1/4,8.4,4,498(+6),[西] 牧田和弥
3,2,4,オーロラフラッシュ,牝4,55,団野大成,1:09.0,1.1/4,23.1,10,458(-2),[東] 藤沢和雄
4,7,14,ニシノストーム,牡4,57,大野拓弥,1:09.0,クビ,63.9,15,486(-16),[東] 杉浦宏昭
5,4,8,ヴォイスオブジョイ,牝5,55,国分恭介,1:09.0,アタマ,49.5,13,458(-2),[東] 水野貴広
6,3,6,マリノディアナ,牝6,55,秋山稔樹,1:09.0,アタマ,219.9,16,442(+6),[東] 水野貴広
7,7,13,コスモアンジュ,牝4,55,丹内祐次,1:09.1,3/4,18.1,9,482(+10),[東] 武藤善則
8,3,5,オシリスブレイン,牡4,57,横山和生,1:09.3,3/4,5.6,1,490(0),[東] 田村康仁
9,8,16,トゥールドマジ,牝4,55,黛弘人,1:09.5,1.1/4,54.6,14,470(+4),[東] 鈴木慎太
10,2,3,ゼンノアンジュ,牝3,52,鮫島克駿,1:09.5,アタマ,9.4,7,490(-2),[西] 浅見秀一
11,6,12,ロフティーピーク,牝4,55,武豊,1:09.5,クビ,6.3,3,478(-8),[西] 武幸四郎
12,8,15,エイカイマドンナ,牝6,55,藤岡佑介,1:09.7,1.1/4,35.9,12,440(-4),[西] 藤原英昭
13,5,10,キーダイヤ,牝4,55,横山武史,1:09.8,1/2,8.4,5,438(0),[西] 藤岡健一
14,5,9,ポンペイワーム,牡5,57,吉田隼人,1:10.1,2,14.4,8,540(0),[西] 畑端省吾
15,4,7,テーオーマルクス,牡4,57,古川吉洋,1:10.1,ハナ,23.1,11,494(+4),[西] 宮徹
16,1,2,エムオーシャトル,牝3,52,勝浦正樹,1:11.1,6,5.9,2,446(+8),[東] 鹿戸雄一
