着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,4,ヴァトレニ,セ3,54,横山和生,1:27.9,,2.8,1,448(+8),[西] 長谷川浩
2,4,5,ジャカランダレーン,牝3,52,藤岡佑介,1:28.3,2.1/2,6.0,3,440(-8),[西] 中内田充
3,3,3,アナザーラブソング,牡5,57,横山典弘,1:28.5,1.1/4,23.6,8,488(-2),[西] 安達昭夫
4,8,13,ジュリオ,牡3,54,ルメール,1:28.8,1.3/4,4.0,2,506(+8),[東] 岩戸孝樹
5,5,8,プレトリア,セ6,57,吉田隼人,1:28.8,クビ,15.6,6,468(+2),[東] 中川公成
6,6,9,イルヴェントデーア,牝5,55,坂井瑠星,1:29.0,1.1/4,39.2,9,460(+8),[東] 金成貴史
7,6,10,ニシノアップルパイ,牡7,57,勝浦正樹,1:29.3,1.1/2,182.2,13,506(+2),[西] 新谷功一
8,5,7,グレイトオーサー,牡4,57,横山武史,1:29.8,3,8.8,5,514(0),[東] 堀宣行
9,1,1,ダンツイノーバ,牝4,55,西谷凜,1:30.0,1,43.0,10,460(+8),[西] 谷潔
10,7,12,イーサンティラノ,牡4,57,古川吉洋,1:30.0,ハナ,79.1,11,446(-2),[西] 昆貢
11,2,2,ナギサ,牝3,52,泉谷楓真,1:30.2,1.1/2,7.5,4,484(+2),[西] 本田優
12,7,11,フィルムフェスト,牝5,55,団野大成,1:30.4,1,19.2,7,446(+2),[東] 尾関知人
13,8,14,エリモグリッター,セ4,57,菱田裕二,1:30.6,1.1/2,89.3,12,462(-2),[東] 中野栄治
14,4,6,ヒロノトウリョウ,牡5,57,秋山稔樹,1:30.8,1.1/4,186.1,14,500(-10),[東] 蛯名利弘
