着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,10,カラテ,牡5,56,菅原明良,1:32.4,,11.6,5,530(+2),[東] 高橋祥泰
2,2,4,カテドラル,牡5,56,田辺裕信,1:32.4,アタマ,34.2,12,488(-2),[西] 池添学
3,6,11,シャドウディーヴァ,牝5,54,岩田康誠,1:32.6,1.1/4,7.2,3,480(+2),[東] 斎藤誠
4,7,13,ヴァンドギャルド,牡5,57,福永祐一,1:32.7,1/2,2.7,1,478(+4),[西] 藤原英昭
5,3,5,トライン,牡6,56,横山典弘,1:32.8,1/2,23.2,8,460(+4),[西] 浜田多実
6,8,16,サトノインプレッサ,牡4,56,戸崎圭太,1:32.9,1/2,24.2,9,476(-2),[西] 矢作芳人
7,6,12,トリプルエース,牡4,56,ルメール,1:32.9,クビ,4.6,2,506(+2),[西] 斉藤崇史
8,5,9,サトノアーサー,牡7,57,坂井瑠星,1:33.0,1,32.9,11,482(-18),[西] 池江泰寿
9,1,2,サトノウィザード,牡5,56,鮫島良太,1:33.1,1/2,8.6,4,494(+4),[西] 松田国英
10,3,6,プロディガルサン,牡8,56,藤岡佑介,1:33.1,ハナ,151.9,14,524(+22),[東] 国枝栄
11,7,14,エントシャイデン,牡6,56,川須栄彦,1:33.3,1,20.6,7,480(-8),[西] 矢作芳人
12,2,3,ロードマイウェイ,牡5,57,横山武史,1:33.5,1,28.7,10,476(-6),[西] 杉山晴紀
13,4,8,ニシノデイジー,牡5,56,勝浦正樹,1:33.5,クビ,68.7,13,494(+4),[東] 高木登
14,1,1,ダイワキャグニー,セ7,58,内田博幸,1:33.6,3/4,12.9,6,500(-2),[東] 菊沢隆徳
15,4,7,ショウナンライズ,牡8,56,大野拓弥,1:33.6,ハナ,450.8,16,478(-2),[東] 上原博之
16,8,15,エメラルファイト,牡5,56,石川裕紀,1:33.7,クビ,297.0,15,470(0),[東] 相沢郁
