着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,7,ネオストーリー,牡4,57,内田博幸,2:26.4,,3.8,2,460(+4),[東] 林徹
2,8,9,セルヴァン,牡3,53,横山和生,2:26.5,3/4,6.8,4,464(-8),[東] 大竹正博
3,7,8,ウインリベルタ,牡5,57,原優介,2:26.5,クビ,5.8,3,490(+2),[東] 青木孝文
4,6,6,デルマラッキーガイ,牡4,57,菊沢一樹,2:26.7,1.1/4,3.4,1,484(-2),[東] 小手川準
5,4,4,キャプテンドレイク,牡4,57,三浦皇成,2:26.8,1/2,8.8,6,480(-19),[西] 今野貞一
6,2,2,ナミブ,セ5,57,杉原誠人,2:27.0,1.1/4,37.7,8,452(-6),[東] 南田美知
7,1,1,ゾロ,牡5,57,吉田豊,2:27.3,1.3/4,15.7,7,470(+2),[東] 小手川準
8,8,10,ケイティミラクル,牡4,57,江田照男,2:27.4,1/2,40.3,9,490(+2),[東] 小野次郎
9,5,5,コスモミローディア,牡5,57,戸崎圭太,2:27.6,1.1/4,7.0,5,468(+2),[東] 天間昭一
10,3,3,シゲルシイタケ,牡6,57,黛弘人,2:28.3,4,71.1,10,458(-4),[東] 中野栄治
