着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,2,スマッシャー,牡3,56,坂井瑠星,1:34.4,,13.4,7,468(-2),[西] 吉岡辰弥
2,8,15,サヴァ,牡3,56,石川裕紀,1:34.5,1,79.0,14,520(+2),[西] 上村洋行
3,4,7,ケイアイロベージ,セ3,56,三浦皇成,1:34.7,1,5.4,3,476(0),[西] 野中賢二
4,8,16,ルーチェドーロ,牡3,56,戸崎圭太,1:35.1,2.1/2,4.7,2,500(+6),[東] 高橋裕
5,3,6,クリーンスレイト,牡3,56,田辺裕信,1:35.3,1,7.6,4,476(-8),[東] 久保田貴
6,4,8,サンライズウルス,牡3,56,藤井勘一,1:35.3,クビ,13.0,6,478(-6),[西] 安田翔伍
7,2,3,ティアップリオン,牡3,56,内田博幸,1:35.5,1,20.2,9,470(-2),[東] 奥平雅士
8,5,10,プロバーティオ,牡3,56,Ｍ．デム,1:35.9,2.1/2,20.8,10,496(0),[東] 田中剛
9,6,11,ヴィゴーレ,牡3,56,丸山元気,1:35.9,ハナ,94.8,16,464(0),[西] 松永幹夫
10,5,9,ブラックアーメット,牡3,56,津村明秀,1:36.2,1.3/4,41.1,12,508(0),[西] 角田晃一
11,1,1,ゲンパチフォルツァ,牡3,56,木幡巧也,1:36.3,クビ,10.3,5,508(+8),[東] 堀井雅広
12,3,5,イグナイター,牡3,56,武藤雅,1:36.3,アタマ,94.5,15,520(+6),[地] 福永敏
13,2,4,ラペルーズ,牡3,56,ルメール,1:36.5,1.1/2,4.5,1,518(-2),[東] 藤沢和雄
14,6,12,ローウェル,牡3,56,団野大成,1:36.6,1/2,47.6,13,548(+14),[西] 斉藤崇史
15,7,14,カレンロマチェンコ,牡3,56,松若風馬,1:36.8,3/4,18.8,8,462(+2),[西] 高柳大輔
中,7,13,ピンクカメハメハ,牡3,56,北村宏司,,,31.4,11,466(0),[西] 森秀行
