着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,1,ソングライン,牝3,52,池添謙一,1:33.2,,3.9,1,484(-2),[東] 林徹
2,8,17,サトノウィザード,牡5,56,戸崎圭太,1:33.2,クビ,15.8,9,512(+2),[東] 宮田敬介
3,4,7,タイムトゥヘヴン,牡3,54,柴田善臣,1:33.6,2,27.9,10,480(+6),[東] 戸田博文
4,8,16,ダノンザキッド,牡3,54,川田将雅,1:33.7,3/4,4.2,2,526(+22),[西] 安田隆行
5,5,9,ダーリントンホール,牡4,56,横山武史,1:33.7,ハナ,48.4,11,538(+2),[東] 岩戸孝樹
6,7,14,ワグネリアン,牡6,57,福永祐一,1:33.8,クビ,9.4,4,466(-6),[西] 友道康夫
7,1,2,ザダル,牡5,56,石橋脩,1:33.8,クビ,14.7,8,500(-4),[東] 大竹正博
8,4,8,ラウダシオン,牡4,57,Ｍ．デム,1:33.9,1/2,12.0,6,514(-4),[西] 斉藤崇史
9,5,10,アルジャンナ,牡4,56,ルメール,1:34.1,1,11.5,5,468(+6),[西] 池江泰寿
10,3,5,ロータスランド,牝4,54,田辺裕信,1:34.1,クビ,5.8,3,472(+10),[西] 辻野泰之
11,8,15,サンライズオネスト,牡4,56,丸山元気,1:34.3,1.1/4,180.4,16,462(-6),[西] 河内洋
12,2,4,バスラットレオン,牡3,55,坂井瑠星,1:34.4,1,14.7,7,486(+4),[西] 矢作芳人
13,2,3,マイラプソディ,牡4,56,武豊,1:34.6,3/4,67.2,13,506(-2),[西] 友道康夫
13,3,6,ハッピーアワー,牡5,56,荻野極,1:34.6,同着,320.0,17,440(-4),[西] 杉山佳明
15,6,11,ボンセルヴィーソ,牡7,56,内田博幸,1:35.0,2.1/2,108.9,14,484(+4),[西] 池添学
16,6,12,フォルコメン,セ5,56,大野拓弥,1:35.3,2,49.1,12,510(+10),[東] 堀宣行
17,7,13,ソーグリッタリング,牡7,56,三浦皇成,1:35.8,3,138.4,15,486(0),[西] 池江泰寿
