着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,10,コンシリエーレ,牡2,55,ルメール,1:38.0,,1.7,1,550(+10),[東] 稲垣幸雄
2,6,11,カフェカルマ,牡2,55,内田博幸,1:38.0,クビ,22.7,6,512(-2),[東] 古賀慎明
3,2,3,ヘラルドバローズ,牡2,55,石橋脩,1:38.1,クビ,18.3,5,482(+2),[西] 寺島良
4,8,15,ワールドコネクター,牡2,55,ムーア,1:38.5,2.1/2,7.2,2,544(+2),[東] 藤沢和雄
5,1,1,エルパソ,牡2,55,横山和生,1:38.7,1,149.1,14,456(-2),[東] 武井亮
6,7,13,コパノニコルソン,牡2,55,亀田温心,1:39.2,3,24.8,7,508(-10),[西] 宮徹
7,3,5,ラインオブソウル,牡2,55,菅原明良,1:39.2,クビ,72.8,11,508(-8),[西] 音無秀孝
8,8,14,マルブツプライド,牡2,55,戸崎圭太,1:39.5,1.3/4,11.3,4,496(0),[西] 加用正
9,5,9,ペイシャエス,牡2,55,丸山元気,1:39.8,1.1/2,57.6,10,494(+6),[東] 小西一男
10,4,6,セッカチケーン,牡2,55,津村明秀,1:40.1,1.3/4,77.2,12,502(0),[東] 高柳瑞樹
11,7,12,ベストリーガード,牡2,56,大野拓弥,1:40.1,クビ,7.2,3,464(-2),[東] 牧光二
12,2,2,クロデメニル,牝2,54,横山武史,1:40.7,3.1/2,48.7,9,484(-10),[西] 森秀行
13,5,8,バレルゾーン,牡2,55,三浦皇成,1:41.0,1.3/4,42.7,8,500(+6),[東] 高柳瑞樹
14,4,7,スズカコテキタイ,牡2,55,岩部純二,1:41.0,ハナ,108.4,13,478(+2),[東] 柄崎孝
15,3,4,ラブパイロー,牝2,54,秋山稔樹,1:41.2,1.1/4,292.7,15,476(-2),[東] 大和田成
