着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,9,クリノプレミアム,牝4,55,木幡巧也,1:47.4,,6.6,3,478(+6),[東] 伊藤伸一
2,6,8,クールウォーター,牝5,55,津村明秀,1:47.9,3,5.7,2,416(-8),[東] 堀宣行
3,8,12,ミアマンテ,牝4,55,丸山元気,1:48.3,2.1/2,38.1,11,442(+16),[東] 木村哲也
4,1,1,ウインメルシー,牝5,55,田辺裕信,1:48.3,アタマ,14.5,7,494(-2),[東] 鈴木伸尋
5,5,7,ヴェルザスカ,牝4,55,森一馬,1:48.3,ハナ,16.9,8,444(+8),[西] 今野貞一
6,8,13,ヴィオリーナ,牝4,55,石川裕紀,1:48.3,クビ,10.7,5,470(+10),[西] 中内田充
7,2,2,アトミカ,牝6,55,亀田温心,1:48.4,3/4,14.4,6,450(-2),[西] 笹田和秀
8,7,11,ルタンブル,牝5,55,菅原明良,1:48.5,1/2,23.0,9,466(-2),[東] 小手川準
9,4,5,ウルクラフト,牝5,55,杉原誠人,1:48.6,1/2,147.9,13,416(-8),[西] 吉村圭司
10,5,6,グレイテスト,牝5,55,石橋脩,1:48.7,1/2,2.5,1,482(-4),[東] 武市康男
11,7,10,ブルーバード,牝3,52,柴田大知,1:48.9,1.1/4,35.5,10,430(-4),[東] 高橋祥泰
12,3,3,イルヴェントデーア,牝5,55,Ｍ．デム,1:48.9,アタマ,8.2,4,444(0),[東] 金成貴史
13,4,4,フローズンスタイル,牝4,55,藤田菜七,1:50.5,10,84.9,12,448(-12),[東] 黒岩陽一
