着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,3,マイネルタイムリー,牡3,55,森裕太朗,1:46.5,,25.6,11,482(+2),[東] 清水英克
2,2,2,ブロッコリー,牡6,56,亀田温心,1:46.7,1,6.1,2,492(+2),[西] 牧田和弥
3,4,6,セイウンロミオ,牡3,55,荻野極,1:46.8,1/2,12.8,8,520(-12),[東] 田村康仁
4,3,4,アメリカンベイビー,牡4,57,木幡巧也,1:46.8,クビ,8.9,5,484(-6),[西] 庄野靖志
5,4,7,キットサクラサク,牡4,57,菅原明良,1:47.2,2.1/2,25.1,10,478(+10),[東] 本間忍
6,1,1,テンナイトパール,牝5,52,小林凌大,1:47.3,1,29.0,12,488(-8),[東] 小西一男
7,5,9,イグナーツ,牡5,54,松本大輝,1:47.4,1/2,6.5,3,492(0),[西] 中竹和也
8,3,5,メイショウクシナダ,牝3,52,泉谷楓真,1:47.6,3/4,7.5,4,516(-10),[西] 南井克巳
9,7,13,ココリミネルヴァ,牝4,55,斎藤新,1:47.7,1/2,112.4,15,424(-10),[東] 古賀慎明
10,6,11,キングリスティア,セ5,56,富田暁,1:47.7,ハナ,8.9,6,520(+2),[西] 河内洋
11,7,12,スペシャルトーク,セ3,54,木幡育也,1:47.7,クビ,56.5,13,466(+2),[東] 杉浦宏昭
12,6,10,ヴィクトリーレーン,セ4,56,秋山稔樹,1:48.2,2.1/2,9.1,7,448(-12),[東] 深山雅史
13,8,14,オニジオオタニ,牡3,52,小林脩斗,1:48.2,ハナ,15.1,9,450(0),[東] 本間忍
14,5,8,スカイテラス,牡4,54,原優介,1:48.5,2,5.9,1,494(+4),[東] 和田正一
15,8,15,シャルマンシェリー,牝3,53,川又賢治,1:49.2,4,62.7,14,472(+6),[西] 佐々木晶
