着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,2,リプレーザ,牡3,56,幸英明,1:08.4,,4.9,3,488(+2),[西] 大根田裕
2,8,10,シゲルセンム,牝3,54,団野大成,1:08.4,クビ,6.5,4,448(+4),[西] 谷潔
3,6,7,クインズセージ,牝3,54,藤懸貴志,1:08.5,クビ,13.3,7,504(-2),[東] 小島茂之
4,1,1,デルマカンノン,牝3,54,福永祐一,1:08.5,クビ,3.3,1,448(+10),[西] 五十嵐忠
5,8,11,フリード,牝3,54,和田竜二,1:08.5,クビ,4.9,2,502(+8),[西] 西園正都
6,3,3,ニューアリオン,牡3,56,藤岡康太,1:08.6,1/2,44.4,9,470(-2),[西] 新谷功一
7,6,6,レベルタウン,牡3,56,酒井学,1:08.6,ハナ,31.0,8,506(0),[西] 石橋守
8,7,9,スーパーウーパー,牝3,54,浜中俊,1:09.6,6,7.9,5,450(-4),[西] 森秀行
9,7,8,ココクラッシュ,牝3,51,小沢大仁,1:09.6,ハナ,87.3,10,416(-6),[西] 梅田智之
10,5,5,シゲルホサヤク,牡3,56,国分恭介,1:09.7,3/4,8.5,6,454(-12),[西] 服部利之
11,4,4,ルシャリーブル,牝3,51,角田大和,1:10.0,1.1/2,99.1,11,426(0),[西] 鈴木孝志
