着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,9,エクスパートラン,牡6,57,藤懸貴志,1:50.1,,27.3,11,470(0),[西] 小崎憲
2,8,16,ブラックヘイロー,牡5,57,川田将雅,1:50.1,アタマ,3.7,1,504(+6),[東] 高橋文雅
3,6,12,メイショウドヒョウ,牡4,57,和田竜二,1:50.2,1/2,5.6,3,488(+2),[西] 西園正都
4,4,8,メイショウダジン,牡4,57,幸英明,1:50.5,1.3/4,5.8,4,476(+4),[西] 松永昌博
5,1,1,メイショウヨカゼ,牡4,57,太宰啓介,1:50.7,1,18.6,6,512(-10),[西] 荒川義之
6,1,2,ロッキーサンダー,牡4,57,松山弘平,1:50.7,クビ,19.0,8,482(+4),[西] 石橋守
7,5,10,ヴァーダイト,牡4,57,岩田望来,1:50.8,クビ,10.4,5,490(+4),[西] 音無秀孝
8,6,11,フローリン,牡6,57,藤井勘一,1:51.0,1.1/4,21.8,10,480(+8),[西] 中内田充
9,4,7,アイアムレジェンド,牡5,57,岩田康誠,1:51.1,3/4,19.0,7,492(+6),[西] 橋田満
10,2,4,キタノオクトパス,牡4,57,秋山真一,1:51.2,1/2,32.0,12,550(0),[東] 高木登
11,8,15,アメリカンフェイス,牡4,57,福永祐一,1:51.2,ハナ,5.5,2,478(0),[東] 戸田博文
12,7,14,カフジキング,牡8,57,松若風馬,1:51.7,3,79.4,14,446(-2),[西] 中竹和也
13,7,13,サンライズセナ,牡6,57,鮫島良太,1:51.9,1,64.8,13,492(-2),[西] 平田修
14,2,3,リフトトゥヘヴン,牡7,57,高倉稜,1:52.1,1.1/2,209.2,16,486(-6),[東] 加藤征弘
15,3,6,ギャラクシーソウル,牝4,55,鮫島克駿,1:52.1,ハナ,21.0,9,464(-4),[東] 斎藤誠
16,3,5,シホノフォルテ,セ5,57,荻野極,1:53.2,7,146.2,15,480(-4),[西] 杉山佳明
