着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,16,オンザフェーヴル,牡4,57,川田将雅,1:51.5,,4.2,2,490(0),[西] 野中賢二
2,6,11,サステナブル,牡3,54,幸英明,1:52.1,3.1/2,4.1,1,506(-4),[西] 長谷川浩
3,1,1,アウトオブサイト,牝3,52,横山和生,1:52.2,1/2,4.9,3,494(+12),[西] 斉藤崇史
4,5,9,デイオブジョイ,牝4,55,川須栄彦,1:52.2,アタマ,74.2,13,468(+4),[西] 松下武士
5,3,6,ラジョーネ,牡3,54,鮫島克駿,1:52.3,1/2,28.6,10,494(+2),[西] 渡辺薫彦
6,1,2,テイエムマグマ,牡3,54,高倉稜,1:52.3,クビ,25.3,9,494(-4),[西] 杉山晴紀
7,5,10,ワイドレッジャドロ,牡4,57,和田竜二,1:52.6,1.1/2,12.8,6,516(+4),[西] 加用正
8,2,3,キオネヴェリテ,牝3,52,鮫島良太,1:52.6,クビ,7.0,4,518(+8),[西] 中竹和也
9,7,13,クールファイブ,牡3,54,岩田望来,1:52.7,クビ,23.5,8,482(-2),[西] 友道康夫
10,6,12,バイオレットジンク,牝3,52,松山弘平,1:52.7,クビ,33.4,11,504(-4),[西] 川村禎彦
11,8,15,ナムラスワガー,牡3,54,川島信二,1:53.6,5,69.6,12,498(-10),[西] 荒川義之
12,4,8,ヒメノジャッカル,牡4,57,加藤祥太,1:53.6,ハナ,194.8,15,448(-2),[西] 庄野靖志
13,4,7,ローズエンペラー,牡3,54,浜中俊,1:53.8,1.1/4,8.3,5,510(+10),[西] 池江泰寿
14,7,14,ジェミニキング,セ5,57,難波剛健,1:54.0,1.1/2,200.3,16,472(+2),[西] 服部利之
15,2,4,メイショウカムロ,牡4,56,富田暁,1:54.6,3.1/2,133.5,14,468(+4),[西] 荒川義之
16,3,5,ニホンピロハーバー,牡3,54,田中健,1:54.9,1.1/2,22.7,7,496(+6),[西] 安達昭夫
