着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,3,メロディーレーン,牝5,53,岩田望来,3:07.2,,5.3,4,354(+10),[西] 森田直行
2,4,4,タイセイモナーク,牡5,55,和田竜二,3:07.3,1,4.3,2,494(+6),[西] 西村真幸
3,2,2,シロニイ,牡7,56,幸英明,3:07.8,3,11.2,6,506(-2),[西] 池江泰寿
4,1,1,ディバインフォース,牡5,56,藤岡康太,3:07.9,1/2,3.7,1,466(-8),[西] 寺島良
5,7,8,リーヴル,牡5,54,吉田隼人,3:08.5,3.1/2,5.3,3,496(+2),[東] 辻哲英
6,5,5,サウンドバーニング,牡9,51,松若風馬,3:08.6,クビ,18.1,7,442(+4),[西] 安達昭夫
7,8,10,エクセレントミスズ,牡8,51,秋山真一,3:08.7,1,83.6,11,476(+2),[西] 藤沢則雄
8,8,11,キタサンバルカン,牡5,55,武豊,3:08.8,1/2,6.6,5,446(-2),[東] 奥村武
9,7,9,ジョウショームード,牡5,54,国分優作,3:09.0,1.1/4,37.7,9,446(-2),[西] 服部利之
10,6,7,ヒーリングマインド,セ5,53,酒井学,3:09.5,3,34.9,8,470(-6),[西] 四位洋文
11,6,6,ウォーターパルフェ,牡6,52,太宰啓介,3:11.1,10,69.3,10,490(-2),[西] 石橋守
