着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,14,サヴァ,牡3,56,横山武史,1:24.1,,3.0,1,520(0),[西] 上村洋行
2,2,3,シゲルホサヤク,牡3,56,高倉稜,1:24.3,1.1/4,5.3,3,464(0),[西] 服部利之
3,5,10,ナンヨープランタン,牡6,57,武豊,1:24.3,ハナ,14.1,6,460(+2),[西] 松永幹夫
4,4,8,シゲルタイタン,牡4,57,ルメール,1:24.3,ハナ,3.9,2,488(+4),[東] 伊藤圭三
5,8,15,ピアシック,牡5,57,戸崎圭太,1:24.4,クビ,10.9,5,512(+12),[西] 森秀行
6,3,6,ジゲン,牡4,57,岩田望来,1:24.6,1.1/4,10.8,4,464(+8),[西] 浅見秀一
7,4,7,クライシス,牡8,57,川須栄彦,1:24.9,2,315.3,16,492(0),[西] 鮫島一歩
8,1,2,サンライズセナ,牡6,57,鮫島良太,1:25.0,クビ,58.7,11,488(+2),[西] 平田修
9,1,1,メイショウヴォルガ,牡7,57,国分優作,1:25.1,1/2,265.8,15,502(-4),[西] 本田優
10,8,16,メイショウラビエ,牝6,55,池添謙一,1:25.2,1/2,24.3,9,494(-4),[西] 池添兼雄
11,5,9,サウンドワイズ,牝4,55,団野大成,1:25.3,3/4,169.0,14,494(0),[西] 高柳大輔
12,2,4,タガノプレトリア,牡6,57,太宰啓介,1:25.5,1.1/4,67.2,12,474(-2),[西] 宮徹
13,6,11,グロワールシチー,牡7,57,幸英明,1:25.6,3/4,45.1,10,478(+4),[西] 岡田稲男
14,7,13,オレンジペコ,牝4,55,松山弘平,1:25.8,1.1/4,22.6,8,480(-2),[西] 武英智
15,3,5,ワイドカント,牡4,57,松若風馬,1:26.0,1.1/4,15.7,7,518(+4),[西] 西園正都
16,6,12,エクリリストワール,セ5,57,坂井瑠星,1:27.6,10,134.0,13,514(0),[東] 田中博康
