着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,10,テーオーマルクス,牡5,57,斎藤新,1:08.2,,53.3,11,500(+2),[西] 宮徹
2,2,2,メイショウドウドウ,牡7,57,西村淳也,1:08.4,1.1/4,14.0,6,488(0),[西] 荒川義之
3,3,4,プレシオーソ,牡5,57,武豊,1:08.7,1.3/4,2.9,1,486(0),[西] 清水久詞
4,1,1,ファイアーボーラー,セ6,57,浜中俊,1:08.8,クビ,10.0,4,466(0),[西] 武幸四郎
5,7,11,ロングファイナリー,セ6,57,長岡禎仁,1:08.8,クビ,187.6,14,480(0),[西] 高橋亮
6,3,3,リャスナ,牝6,55,Ｃ．デム,1:08.9,3/4,3.9,2,456(0),[西] 四位洋文
7,4,6,グッドワード,牝7,55,鮫島克駿,1:09.1,1,53.9,12,516(+10),[西] 畑端省吾
8,5,7,ディヴィナシオン,牡5,57,古川吉洋,1:09.1,ハナ,15.1,7,476(+8),[西] 森秀行
9,7,12,アサケエース,牡5,57,小沢大仁,1:09.1,ハナ,34.3,9,454(+4),[西] 大橋勇樹
10,5,8,カイザーノヴァ,牡4,56,坂井瑠星,1:09.1,クビ,10.7,5,460(+2),[西] 矢作芳人
11,8,13,シオミチクレバ,牝5,55,団野大成,1:09.5,2,128.0,13,502(0),[西] 牧浦充徳
12,6,9,ジャガード,牡4,56,亀田温心,1:09.8,2,43.5,10,414(+2),[東] 和田雄二
13,4,5,エグレムニ,牡5,57,岩田康誠,1:09.8,1/2,15.8,8,496(+6),[西] 加用正
14,8,14,アビエルト,牡5,57,和田竜二,1:10.1,1.3/4,6.3,3,504(-2),[西] 杉山佳明
