着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,4,ピンシャン,牡5,57,川田将雅,1:23.8,,4.7,2,470(0),[西] 森秀行
2,7,13,ヴァニラアイス,牝6,54,吉田隼人,1:23.9,1,29.3,9,476(+6),[西] 高柳大輔
3,6,12,スリーグランド,牡5,57,岩田望来,1:24.0,クビ,3.1,1,478(+4),[西] 高橋義忠
4,6,11,アヴァンティスト,牡6,56,浜中俊,1:24.0,クビ,13.1,5,480(+4),[西] 渡辺薫彦
5,2,3,レッドヴェイロン,牡7,56,岩田康誠,1:24.2,3/4,94.0,13,504(-6),[東] 鹿戸雄一
6,5,10,イメル,牡6,56,和田竜二,1:24.3,3/4,15.8,8,502(+12),[西] 音無秀孝
7,8,16,ロイヤルパールス,牡7,57,池添謙一,1:24.4,3/4,60.2,11,530(-2),[西] 池添兼雄
8,1,2,ゲンパチフォルツァ,牡4,55,斎藤新,1:24.6,3/4,33.1,10,514(-4),[東] 堀井雅広
9,4,7,スナークスター,セ6,56,鮫島克駿,1:24.8,1.1/4,340.9,16,468(-2),[西] 川村禎彦
10,8,15,コパノマーキュリー,牡5,56,松山弘平,1:24.8,アタマ,7.7,4,510(-2),[西] 村山明
11,4,8,ゼンノアンジュ,牝4,53,武豊,1:24.9,1/2,15.5,7,502(0),[西] 浅見秀一
12,3,6,サヴァ,牡4,55,横山武史,1:25.0,1/2,5.0,3,536(+16),[西] 上村洋行
13,5,9,カレンロマチェンコ,牡4,55,松若風馬,1:25.1,1/2,15.2,6,480(+8),[西] 高柳大輔
14,1,1,メイショウベンガル,牡5,56,幸英明,1:25.3,1,63.0,12,496(+12),[西] 松永昌博
15,7,14,スピリットワンベル,牡7,56,泉谷楓真,1:26.3,6,122.7,14,540(+2),[西] 牧田和弥
中,3,5,メイショウキョウジ,牡7,56,酒井学,,,159.7,15,480(+6),[西] 藤岡健一
