着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,4,テーオーケインズ,牡5,59,松山弘平,1:57.0,,1.8,1,500(0),[西] 高柳大輔
2,2,3,ケイアイパープル,牡6,57,藤岡康太,1:57.4,2.1/2,23.0,7,498(-4),[西] 村山明
3,3,5,メイショウハリオ,牡5,57,浜中俊,1:57.8,2.1/2,7.0,3,506(+14),[西] 岡田稲男
4,5,10,スマッシングハーツ,牡6,56,鮫島克駿,1:58.0,1.1/2,54.8,11,514(+6),[西] 新谷功一
5,4,8,スワーヴアラミス,牡7,58,松田大作,1:58.1,1/2,21.8,6,490(0),[西] 須貝尚介
6,1,2,オーヴェルニュ,牡6,57,福永祐一,1:58.3,1.1/4,5.3,2,478(0),[西] 西村真幸
7,5,9,サンライズホープ,牡5,57,幸英明,1:58.3,クビ,13.6,4,546(+2),[西] 羽月友彦
8,1,1,カデナ,牡8,57,武豊,1:58.4,クビ,35.0,9,488(+6),[西] 中竹和也
9,6,11,サンダーブリッツ,牡5,56,川田将雅,1:58.5,1/2,25.3,8,502(+2),[東] 久保田貴
10,4,7,デルマルーヴル,牡6,57,吉田隼人,1:58.5,クビ,228.1,16,504(-4),[東] 戸田博文
11,8,15,ダンツキャッスル,牡6,56,柴山雄一,1:58.8,1.3/4,180.5,15,480(-16),[西] 谷潔
12,8,16,ペルセウスシチー,牡5,56,和田竜二,1:59.0,1,53.6,10,484(0),[東] 池上昌和
13,3,6,ブルベアイリーデ,牡6,56,Ｍ．デム,1:59.1,1,18.4,5,496(0),[西] 杉山晴紀
14,6,12,グレートタイム,牡7,56,藤岡佑介,1:59.6,3,55.4,12,486(+4),[西] 藤原英昭
15,7,14,ヒストリーメイカー,牡8,56,小崎綾也,1:59.7,1/2,180.2,14,530(+2),[西] 新谷功一
16,7,13,ダノンファラオ,牡5,58,坂井瑠星,2:00.0,1.3/4,97.5,13,544(+8),[西] 矢作芳人
