着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,9,フィニステール,牡5,57,川田将雅,1:58.5,,3.7,1,474(+2),[西] 中内田充
2,2,3,コパノリッチマン,牡5,57,酒井学,1:58.6,クビ,83.7,13,514(0),[西] 村山明
3,6,12,ノーブルシルエット,牝4,55,横山和生,1:58.6,クビ,4.2,3,464(-2),[東] 水野貴広
4,2,4,ヴィアメント,セ5,57,Ｍ．デム,1:58.6,クビ,15.3,6,484(+4),[東] 鹿戸雄一
5,5,10,メガゴールド,牡4,57,松田大作,1:58.9,1.1/2,23.5,8,518(-8),[西] 須貝尚介
6,8,15,サンライズシェリー,牡5,57,幸英明,1:58.9,アタマ,11.5,5,484(-2),[西] 河内洋
7,4,8,カネコメノボル,セ5,57,森裕太朗,1:59.2,2,30.5,9,430(-8),[西] 中尾秀正
8,3,6,ヴォワドアンジェ,牝4,55,鮫島克駿,1:59.2,クビ,9.5,4,450(-2),[西] 中竹和也
9,1,2,ダッチマン,セ5,57,松若風馬,1:59.4,1.1/4,99.3,15,464(-2),[西] 音無秀孝
10,3,5,クリノドラゴン,牡4,57,福永祐一,1:59.5,1/2,4.0,2,482(0),[西] 大橋勇樹
11,1,1,ソルトイブキ,牡6,57,富田暁,1:59.7,3/4,35.7,10,492(+4),[西] 木原一良
12,4,7,ワンダーエカルテ,牝6,55,角田大河,2:00.3,3.1/2,121.9,16,510(-6),[西] 石橋守
13,7,13,ベルジュネス,セ6,57,秋山真一,2:00.7,2.1/2,98.4,14,464(-8),[東] 畠山吉宏
14,8,16,ギブミーラブ,牝4,55,坂井瑠星,2:01.0,1.3/4,71.7,12,480(0),[西] 藤岡健一
15,7,14,エクレルシー,牡4,57,岩田望来,2:02.3,8,37.4,11,504(0),[東] 栗田徹
中,6,11,ラヴォラーレ,牡4,57,和田竜二,,,15.8,7,526(-4),[東] 武市康男
