着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,4,ダノンスプレンダー,牡6,57,横山和生,1:53.2,,4.3,1,510(+4),[西] 安田隆行
2,1,2,クレスコブレイブ,牡8,56,勝浦正樹,1:53.2,ハナ,56.0,14,528(+10),[西] 飯田雄三
3,8,16,エイコーン,牡7,56,高倉稜,1:53.3,クビ,65.6,15,464(0),[西] 吉田直弘
4,3,5,トランスナショナル,セ6,56,酒井学,1:53.6,2,13.4,8,486(+2),[東] 田村康仁
5,1,1,キタノヴィジョン,牡5,56,三浦皇成,1:53.6,アタマ,8.3,4,496(+6),[東] 萱野浩二
6,7,14,フローリン,牡7,56,大野拓弥,1:53.7,1/2,46.8,13,466(-6),[西] 中内田充
7,6,11,ミヤジコクオウ,牡5,57,津村明秀,1:53.8,クビ,16.2,9,508(-10),[西] 川村禎彦
8,5,9,ダノンファスト,牡5,57,菊沢一樹,1:53.8,ハナ,7.3,3,472(+10),[東] 菊沢隆徳
9,5,10,レピアーウィット,牡7,59,石橋脩,1:53.8,アタマ,10.2,6,554(+8),[東] 堀宣行
10,2,3,バレッティ,セ8,57,野中悠太,1:53.8,クビ,11.5,7,512(+2),[東] 久保田貴
11,3,6,ラストマン,牡5,56,菅原明良,1:53.9,アタマ,17.1,10,484(+22),[東] 戸田博文
12,4,8,マイラプソディ,牡5,56,Ｍ．デム,1:54.1,1.1/2,9.8,5,512(+6),[西] 友道康夫
13,8,15,ドリュウ,牡7,56,杉原誠人,1:54.3,1,34.9,12,464(+12),[東] 土田稔
14,7,13,シャンパンクーペ,牡6,56,内田博幸,1:55.0,4,107.2,16,526(-4),[西] 今野貞一
15,6,12,メイショウワザシ,牡7,57,江田照男,1:55.2,1.1/2,21.6,11,550(+20),[西] 南井克巳
16,4,7,ラペルーズ,牡4,55,戸崎圭太,1:57.9,大,6.7,2,520(+2),[東] 藤沢和雄
