着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,13,コーラスケイト,牝4,54,ルメール,1:53.8,,4.4,3,518(+2),[西] 新谷功一
2,5,6,ブルーカルセドニー,牝4,54,横山武史,1:54.0,1.1/2,2.5,1,444(0),[東] 小野次郎
3,4,4,ヴァシリエフスキー,牝4,54,戸崎圭太,1:54.2,3/4,3.0,2,480(+8),[東] 武藤善則
4,7,11,アラゴナイト,牝4,54,杉原誠人,1:54.4,1.1/2,16.3,5,456(+4),[東] 加藤和宏
5,8,12,アドアステラ,牝6,55,柴田大知,1:54.5,クビ,19.5,6,474(+12),[東] 萱野浩二
6,5,7,ジュールサイクル,牝5,55,Ｍ．デム,1:54.5,クビ,12.6,4,458(+6),[東] 田中剛
7,6,9,ペイシャオウユー,牝4,54,丸田恭介,1:54.8,1.3/4,38.4,7,474(+16),[東] 石栗龍彦
8,2,2,アヴァニイ,牝5,55,石川裕紀,1:54.9,1/2,177.3,12,506(+4),[東] 加藤征弘
9,6,8,アサクサマヤ,牝6,55,北村宏司,1:55.3,2.1/2,305.3,13,494(+8),[東] 高柳瑞樹
10,4,5,ツウカイヴィータ,牝5,55,小林脩斗,1:55.6,1.3/4,48.1,9,472(+10),[東] 小笠倫弘
11,7,10,マイコレット,牝4,54,江田照男,1:55.9,2,125.6,11,508(+4),[東] 大江原哲
12,3,3,ナーシサステソーロ,牝5,55,津村明秀,1:56.2,1.1/2,41.1,8,454(-2),[東] 奥平雅士
13,1,1,ライクアジュエリー,牝5,55,吉田豊,1:56.6,2.1/2,70.1,10,460(-2),[東] 戸田博文
