着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,16,フィストバンプ,牡6,56,田中勝春,2:34.8,,5.9,4,492(+4),[東] 松永康利
2,2,3,ショウナンアーチー,牡4,55,坂井瑠星,2:34.8,クビ,5.8,3,498(-6),[西] 松下武士
3,4,8,クールファイブ,牡4,54,松岡正海,2:35.0,1.1/4,20.5,8,488(-4),[東] 堀内岳志
4,4,7,メラーキ,牡5,55,横山和生,2:35.3,1.3/4,4.7,2,492(0),[東] 稲垣幸雄
5,5,10,ディクテオン,セ4,54,菅原明良,2:35.4,1/2,3.4,1,506(-6),[西] 吉岡辰弥
6,6,12,コバルトブルー,牡6,55,石川裕紀,2:35.5,3/4,25.2,9,466(+6),[西] 池江泰寿
7,8,15,エクセレントラン,セ5,54,横山琉人,2:35.7,1.1/2,17.3,7,474(-4),[東] 大江原哲
8,7,13,グッドリドゥンス,牡5,53,勝浦正樹,2:36.5,5,65.0,12,484(0),[東] 的場均
9,3,6,ウインレゼルヴ,牡5,54,丹内祐次,2:36.5,ハナ,41.5,10,504(+6),[東] 奥平雅士
10,5,9,ヒッチコック,牡6,54,吉田隼人,2:36.7,3/4,42.0,11,506(+2),[西] 中竹和也
11,6,11,トウカイオルデン,牡7,53,野中悠太,2:37.0,2,141.7,15,480(-8),[東] 菊川正達
12,2,4,ワセダハーツ,牡4,55,横山武史,2:37.7,4,10.3,5,428(+2),[西] 橋口慎介
13,3,5,ネオストーリー,牡5,53,秋山稔樹,2:37.7,アタマ,222.7,16,468(-2),[東] 林徹
14,1,1,オンワードセルフ,牡6,52,丸田恭介,2:37.9,1.1/4,117.3,14,496(-7),[西] 村山明
15,7,14,ジジ,牡4,54,田辺裕信,2:38.3,2.1/2,14.0,6,490(-4),[東] 田島俊明
16,1,2,サダムラピュタ,牡7,54,津村明秀,2:39.0,4,72.9,13,476(+4),[西] 平田修
