着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,10,モチベーション,牝3,53,丹内祐次,1:34.3,,4.7,2,436(-2),[東] 清水英克
2,1,1,レーヴドゥラプレリ,牝4,55,戸崎圭太,1:34.3,ハナ,6.1,5,460(-4),[東] 宮田敬介
3,4,4,チアチアクラシカ,牝5,55,吉田豊,1:34.8,3,6.0,4,508(-8),[東] 西田雄一
4,3,3,ミモザイエロー,牝6,55,大野拓弥,1:34.8,アタマ,62.9,9,468(-4),[東] 戸田博文
5,7,8,ルルローズ,牝4,55,杉原誠人,1:34.8,ハナ,5.3,3,474(+10),[東] 伊藤大士
6,5,5,オメガロマンス,牝4,55,横山武史,1:34.8,クビ,3.1,1,460(+2),[東] 斎藤誠
7,8,9,ペドラフォルカ,牝4,55,田辺裕信,1:34.9,クビ,10.0,6,462(0),[西] 上村洋行
8,7,7,エープラス,牝4,55,斎藤新,1:35.0,1,21.8,7,482(0),[東] 池上昌和
9,2,2,ソスピタ,牝5,55,柴田大知,1:35.2,1,141.9,10,450(-2),[東] 畠山吉宏
10,6,6,ラストリージョ,牝4,55,Ｍ．デム,1:35.2,ハナ,22.1,8,458(-2),[東] 蛯名利弘
