着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,8,キュールエフウジン,牡3,54,斎藤新,1:46.0,,11.4,6,484(-4),[西] 中尾秀正
2,7,10,トミケンベレムド,牡4,54,小林凌大,1:46.1,クビ,31.6,9,534(+8),[東] 小西一男
3,2,2,ヒデノレインボー,牡3,54,岩田康誠,1:46.1,クビ,5.2,2,468(+2),[西] 梅田智之
4,7,9,サトノスライヴ,牡5,56,泉谷楓真,1:46.2,クビ,6.2,3,510(0),[西] 南井克巳
5,3,3,ワンダーアマルフィ,牡5,57,水口優也,1:46.6,2,26.4,8,490(-6),[西] 石橋守
6,5,5,ダノンマジック,牡3,54,菱田裕二,1:46.6,アタマ,8.1,5,442(0),[東] 田中博康
7,6,7,オーマイオーマイ,牡5,57,浜中俊,1:46.8,1.1/4,11.9,7,478(+3),[西] 小崎憲
8,4,4,ディーエスボンバー,牡4,57,古川吉洋,1:47.0,1.1/2,32.7,10,488(0),[西] 岡田稲男
9,1,1,ウインホノカ,牝6,54,秋山稔樹,1:47.0,アタマ,206.9,12,420(+2),[東] 本間忍
10,8,11,タマモエース,牡3,54,鮫島克駿,1:47.1,1/2,7.0,4,458(+2),[西] 川村禎彦
11,8,12,イエヴァンポルッカ,牡3,54,横山武史,1:47.2,クビ,2.8,1,486(+4),[東] 伊藤圭三
12,5,6,タマモモンレーブ,牡3,51,大久保友,1:47.6,2.1/2,129.9,11,500(0),[西] 大橋勇樹
