着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,1,メイショウハナモモ,牝4,52,小沢大仁,1:48.3,,5.1,3,460(0),[西] 松永昌博
2,4,4,クーファイザナミ,牝5,55,吉田隼人,1:48.5,1.1/2,15.6,7,424(+8),[西] 武幸四郎
3,8,12,アオイシチフク,牝4,51,松本大輝,1:48.6,3/4,5.5,4,488(+6),[東] 中舘英二
4,2,2,ジョイフルダンサー,牝4,53,亀田温心,1:48.7,クビ,3.9,1,436(0),[西] 北出成人
5,5,5,シェーン,牝5,52,角田大和,1:48.9,1.1/2,4.6,2,484(+8),[西] 角田晃一
6,6,7,チアフルローズ,牝6,55,丹内祐次,1:49.1,1,35.5,8,484(+4),[東] 水野貴広
7,8,11,レッドウッドヒル,牝4,54,富田暁,1:49.2,1/2,51.0,9,470(-8),[東] 武井亮
8,3,3,クリノラピッド,牝4,51,原優介,1:49.7,3.1/2,51.4,10,454(0),[東] 伊藤伸一
9,5,6,アンジュマリッシュ,牝4,54,鮫島克駿,1:49.8,クビ,87.4,11,440(-2),[西] 上村洋行
10,7,10,アポロリリー,牝5,52,小林凌大,1:49.8,クビ,10.3,6,426(+2),[東] 鈴木伸尋
11,7,9,ホウオウラフィット,牝4,52,藤田菜七,1:50.1,1.3/4,6.1,5,418(+6),[東] 池上昌和
12,6,8,サツキワルツ,牝7,54,秋山稔樹,1:50.3,1.1/2,195.7,12,462(+2),[東] 蛯名利弘
