着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,2,リバティアイランド,牝2,54,川田将雅,1:35.8,,2.1,1,464(0),[西] 中内田充
2,7,10,クルゼイロドスル,牡2,54,幸英明,1:36.3,3,31.0,7,460(0),[西] 高橋義忠
3,3,3,エマヌエーレ,牡2,54,松山弘平,1:36.3,アタマ,16.0,6,486(0),[西] 平田修
4,6,8,イコノスタシス,牝2,54,福永祐一,1:36.5,1.1/4,6.3,3,462(0),[東] 古賀慎明
5,8,11,モリーダーリン,牝2,54,戸崎圭太,1:36.8,2,3.8,2,472(0),[東] 国枝栄
6,5,5,ラバタンシン,牡2,54,岩田望来,1:37.1,1.1/2,10.0,4,482(0),[西] 寺島良
7,5,6,フィッシュポンド,牡2,54,Ｍ．デム,1:37.4,1.3/4,13.9,5,484(0),[西] 大久保龍
8,7,9,ブルースワット,牡2,54,西村淳也,1:38.2,5,241.7,12,450(0),[西] 庄野靖志
9,4,4,スキップモロチャン,牡2,54,田中勝春,1:38.2,クビ,59.8,8,510(0),[東] 宗像義忠
10,8,12,アポロパシュート,セ2,54,津村明秀,1:39.6,8,232.5,11,426(0),[東] 矢野英一
11,6,7,ヴァルカン,牝2,54,菅原明良,1:39.9,2,91.3,9,442(0),[東] 稲垣幸雄
12,1,1,ジェド,牡2,54,菊沢一樹,1:40.2,1.3/4,211.8,10,476(0),[東] 勢司和浩
