着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,1,マジカルステージ,牝4,55,吉田隼人,2:02.4,,7.0,4,442(+2),[西] 須貝尚介
2,7,13,マイネルエニグマ,牡4,57,泉谷楓真,2:02.5,1/2,17.3,7,460(-8),[西] 五十嵐忠
3,2,2,スズカノロッソ,セ7,57,丹内祐次,2:02.6,クビ,9.0,6,480(-4),[東] 小島茂之
4,6,10,ジャスティンスカイ,牡3,54,横山武史,2:02.8,1.1/4,3.6,1,520(-8),[西] 友道康夫
5,3,4,メイショウラナキラ,牡3,54,池添謙一,2:02.8,アタマ,4.3,2,458(+20),[西] 南井克巳
6,7,12,スワヤンブナート,セ3,54,武豊,2:02.9,1/2,6.5,3,518(+18),[西] 須貝尚介
7,5,9,ローゼライト,牝4,55,斎藤新,2:02.9,ハナ,49.8,10,430(-6),[西] 清水久詞
8,2,3,グレースオブナイル,牝5,55,藤岡佑介,2:02.9,ハナ,153.7,15,446(-2),[東] 小笠倫弘
9,6,11,エルディアブロ,牡4,57,鮫島克駿,2:02.9,クビ,7.8,5,448(+4),[西] 佐々木晶
10,8,15,フラワリングナイト,牝5,55,菱田裕二,2:03.1,3/4,54.3,11,438(+2),[東] 金成貴史
11,5,8,ヒューマンコメディ,牝5,55,横山和生,2:03.2,3/4,19.9,8,492(0),[東] 水野貴広
12,3,5,メタルスパーク,セ5,57,柴山雄一,2:03.2,クビ,85.6,13,496(+6),[東] 菊川正達
13,4,7,ジャミールフエルテ,セ6,57,古川吉洋,2:03.3,1/2,64.5,12,454(0),[西] 大久保龍
14,4,6,トーセンヴァンノ,牡3,54,原田和真,2:03.5,1.1/4,107.4,14,474(-4),[東] 小桧山悟
15,8,14,ポールトゥウィン,牡5,57,浜中俊,2:04.7,7,49.0,9,520(0),[西] 田中克典
