着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,12,アサケレディ,牝4,55,菱田裕二,1:47.9,,7.9,5,480(-2),[西] 大橋勇樹
2,8,13,ルーツドール,牝5,55,吉田隼人,1:47.9,クビ,5.3,3,534(0),[西] 藤岡健一
3,3,4,メタルスパーク,セ5,57,秋山稔樹,1:48.2,1.1/2,101.1,14,492(-4),[東] 菊川正達
4,4,6,アケルナルスター,牡3,54,横山琉人,1:48.3,1.1/4,4.8,2,460(0),[東] 清水英克
5,7,11,アインゲーブング,牝4,55,丹内祐次,1:48.4,クビ,12.3,6,446(0),[東] 黒岩陽一
6,6,9,サウンドレベッカ,牝5,55,鮫島克駿,1:48.4,ハナ,25.8,8,462(-6),[西] 安達昭夫
7,4,5,エンジェルサークル,牝5,55,浜中俊,1:48.4,ハナ,27.7,9,442(0),[東] 中川公成
8,5,7,ジャミールフエルテ,セ6,57,松田大作,1:48.5,3/4,56.5,12,454(0),[西] 大久保龍
9,2,2,カフジアスール,牡4,57,角田大和,1:48.6,3/4,6.1,4,480(+4),[西] 中竹和也
10,8,14,グレースオブナイル,牝5,55,富田暁,1:48.8,1.1/4,50.2,11,444(-2),[東] 小笠倫弘
11,3,3,ハーツラプソディ,牝4,55,武豊,1:49.0,3/4,3.9,1,506(+8),[西] 今野貞一
12,1,1,ロッソモラーレ,牡5,57,黛弘人,1:49.3,2,29.4,10,472(+2),[東] 清水英克
13,5,8,スワーヴシールズ,セ5,57,柴山雄一,1:49.3,クビ,80.8,13,490(-10),[西] 昆貢
14,6,10,ウィスパリンホープ,牝5,55,横山和生,1:49.6,1.3/4,15.2,7,492(-6),[西] 昆貢
