着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,1,1,ドゥラドーレス,牡3,54,横山武史,2:02.4,,1.5,1,494(-4),[東] 宮田敬介
2,5,7,エルディアブロ,牡4,57,鮫島克駿,2:02.8,2.1/2,15.9,5,446(-2),[西] 佐々木晶
3,4,4,ローゼライト,牝4,55,斎藤新,2:02.8,アタマ,43.4,8,436(+6),[西] 清水久詞
4,3,3,メイショウラナキラ,牡3,54,池添謙一,2:02.9,クビ,10.2,4,452(-6),[西] 南井克巳
5,6,8,ナックイルシーブ,牡4,57,勝浦正樹,2:03.1,1,51.8,9,500(-18),[東] 杉浦宏昭
6,4,5,ヤマニンゼスト,牡3,54,鷲頭虎太,2:03.1,クビ,8.3,3,506(+2),[西] 千田輝彦
7,2,2,マイネルエニグマ,牡4,57,丹内祐次,2:03.2,クビ,6.0,2,468(+8),[西] 五十嵐忠
8,8,12,ウインチェレステ,牡4,57,吉田隼人,2:03.2,クビ,22.5,6,512(+6),[東] 畠山吉宏
9,8,13,トーセンヴァンノ,牡3,54,原田和真,2:03.3,クビ,140.3,12,482(+8),[東] 小桧山悟
10,7,11,オータムヒロイン,牝4,55,古川吉洋,2:03.5,1.1/4,52.8,10,472(+8),[西] 鮫島一歩
11,5,6,インペリアルフィズ,牡8,57,菱田裕二,2:03.6,3/4,183.2,13,470(-10),[東] 和田勇介
12,7,10,ウインミニヨン,牝4,55,横山和生,2:03.6,クビ,23.1,7,424(+4),[西] 長谷川浩
13,6,9,リーブルミノル,牡4,57,丸山元気,2:04.3,4,120.5,11,482(+2),[西] 本田優
