着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,6,メンアットワーク,牡3,56,松山弘平,1:44.5,,1.5,1.0,454(+4),[東] 斎藤誠
2,6,10,ユウゲン,牡5,58,柴田善臣,1:44.9,2.1/2,105.9,11.0,504(+4),[西] 橋口慎介
3,8,13,コスモセイリュウ,牡5,58,ホー,1:45.1,1.1/2,10.0,4.0,496(0),[東] 中野栄治
4,8,14,タガノペカ,牝4,56,岡部誠,1:45.4,1.1/2,8.6,3.0,506(0),[西] 西園正都
5,5,7,ジュールサイクル,牝5,56,ルメール,1:45.6,1.1/4,33.2,8.0,446(-6),[東] 田中剛
6,5,8,サヴァビアン,牡4,58,ウィリア,1:45.7,3/4,20.8,5.0,430(0),[西] 羽月友彦
7,2,2,マイネルレンカ,牡8,58,福永祐一,1:45.9,1.1/4,34.3,9.0,474(+4),[東] 鈴木慎太
8,7,11,グレースルビー,牝5,56,横山武史,1:45.9,クビ,64.6,10.0,484(-6),[西] 羽月友彦
9,3,4,ロードオブザチェコ,牡4,58,川田将雅,1:46.0,クビ,25.4,7.0,506(+4),[東] 石栗龍彦
10,3,3,リアルシング,牡5,58,イーガン,1:46.2,1,6.4,2.0,542(-2),[西] 池添兼雄
11,7,12,コトブキアルニラム,牝4,56,パコー,1:47.5,8,168.5,12.0,448(+6),[東] 萱野浩二
12,1,1,リファインドマナー,牝4,56,グラハム,1:48.9,9,21.9,6.0,454(-8),[西] 杉山佳明
除,4,5,ラブスピール,牝5,56,武豊,,,---,,454(+4),[西] 森田直行
除,6,9,アースライザー,セ5,58,バシュロ,,,---,,486(+4),[東] 鈴木慎太
