着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,6,サンライズウルス,牡4,57,横山和生,1:36.0,,2.5,1,482(-6),[西] 安田翔伍
2,3,5,オンザライン,牡4,57,菅原明良,1:36.5,3,12.0,7,452(-2),[東] 大和田成
3,5,10,オーバーディリバー,セ6,57,横山武史,1:36.8,1.3/4,10.0,5,490(+2),[東] 萩原清
4,2,4,ゴールドパラディン,牡5,57,幸英明,1:37.2,2.1/2,11.3,6,432(-6),[西] 吉岡辰弥
5,6,12,ロンコーネ,牡4,57,戸崎圭太,1:37.2,アタマ,5.1,2,492(+4),[東] 岩戸孝樹
6,6,11,ワイドソロモン,牡5,57,大野拓弥,1:37.3,クビ,54.3,11,498(0),[西] 奥村豊
7,7,13,ホウオウライジン,牡6,57,石川裕紀,1:37.5,1,95.9,14,498(+14),[西] 矢作芳人
8,4,7,フォルツァエフ,牡7,57,武豊,1:37.5,クビ,41.3,8,494(-2),[西] 森秀行
9,1,2,カフェスペランツァ,牡5,57,吉田豊,1:37.6,1/2,51.7,10,518(0),[東] 中舘英二
10,2,3,ヘライア,牝5,55,富田暁,1:37.6,アタマ,73.0,12,472(+4),[東] 加藤征弘
11,1,1,スズカゴウケツ,牡5,57,永野猛蔵,1:37.7,クビ,100.2,15,488(-2),[東] 伊藤圭三
12,5,9,ボルサリーノ,牡5,57,Ｍ．デム,1:37.8,1,6.8,3,470(-10),[西] 杉山晴紀
13,4,8,タイセイアゲイン,牡4,57,和田竜二,1:38.0,1,46.9,9,464(-12),[西] 松下武士
14,8,16,クロミナンス,牡5,57,内田博幸,1:38.5,3,9.0,4,496(-6),[東] 尾関知人
15,7,14,ヤマメ,牝5,55,木幡巧也,1:38.8,1.3/4,81.1,13,472(0),[東] 久保田貴
16,8,15,ナンヨーイザヨイ,セ6,57,江田照男,1:39.5,4,263.8,16,480(-12),[東] 杉浦宏昭
