着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,3,サリオス,牡5,56,松山弘平,1:44.1,,3.0,1,534(+6),[東] 堀宣行
2,8,9,ジャスティンカフェ,牡4,56,福永祐一,1:44.2,1/2,5.9,3,498(+8),[西] 安田翔伍
3,4,4,ダノンザキッド,牡4,56,戸崎圭太,1:44.3,3/4,6.7,4,526(0),[西] 安田隆行
4,5,5,レイパパレ,牝5,55,川田将雅,1:44.4,1,4.7,2,440(0),[西] 高野友和
5,2,2,ノースブリッジ,牡4,56,岩田康誠,1:44.5,1/2,6.8,5,494(+2),[東] 奥村武
6,6,6,ポタジェ,牡5,58,吉田隼人,1:44.6,クビ,12.9,7,466(+2),[西] 友道康夫
7,7,7,キングストンボーイ,牡4,56,ルメール,1:44.8,1.1/4,15.7,8,504(+2),[東] 鹿戸雄一
8,7,8,キングオブコージ,牡6,57,横山武史,1:45.2,2.1/2,57.9,9,492(-6),[西] 安田翔伍
9,8,10,ハッピーアワー,牡6,56,川又賢治,1:45.8,3.1/2,188.4,10,446(0),[西] 杉山佳明
10,1,1,レッドベルオーブ,牡4,56,幸英明,1:46.2,2,12.4,6,486(+4),[西] 藤原英昭
