着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,3,ブレークアップ,牡4,57,戸崎圭太,2:26.3,,4.4,2,498(+6),[東] 黒岩陽一
2,4,4,マリノアズラ,牝4,55,津村明秀,2:26.3,アタマ,10.9,4,482(+10),[東] 小手川準
3,8,9,レッドヴェロシティ,牡4,57,横山武史,2:26.4,1/2,2.2,1,542(+2),[東] 木村哲也
4,2,2,ダノングロワール,牡5,57,菅原明良,2:26.5,1/2,15.7,7,498(-8),[東] 国枝栄
5,8,10,タイセイモナーク,牡6,57,藤岡康太,2:26.5,クビ,65.0,10,488(-2),[西] 西村真幸
6,7,7,ヒシゲッコウ,セ6,57,石橋脩,2:26.5,ハナ,5.9,3,476(0),[東] 堀宣行
7,1,1,リリーピュアハート,牝5,55,三浦皇成,2:26.6,1/2,11.1,5,452(0),[西] 藤原英昭
8,6,6,パープルレディー,牝4,55,横山和生,2:26.9,1.1/2,15.0,6,434(+22),[東] 奥村武
9,7,8,アイブランコ,牡5,57,内田博幸,2:26.9,クビ,16.4,8,518(+10),[東] 中野栄治
10,5,5,ナムラカミカゼ,牡5,57,丸田恭介,2:27.1,1.1/2,27.7,9,494(-2),[西] 村山明
