着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,8,ラーゴム,牡4,58,鮫島克駿,1:43.3,,8.9,5,526(-4),[西] 斉藤崇史
2,4,7,サンライズラポール,牡5,56,西村淳也,1:43.3,クビ,18.7,6,518(+4),[西] 平田修
3,5,9,ブラックアーメット,牡4,56,泉谷楓真,1:43.4,3/4,8.2,4,506(-4),[西] 角田晃一
4,2,3,ケンシンコウ,牡5,58,丸山元気,1:43.7,1.1/2,3.1,1,498(-2),[東] 小西一男
5,3,5,ベルダーイメル,牡5,56,川島信二,1:43.8,3/4,19.4,8,456(-14),[西] 本田優
6,8,14,ハギノアトラス,牡6,56,武藤雅,1:43.9,1/2,21.9,9,492(-12),[西] 鮫島一歩
7,3,4,エクレアスパークル,牡8,57,荻野極,1:43.9,アタマ,7.6,3,476(-2),[西] 今野貞一
8,4,6,ニュートンテソーロ,牡5,56,丹内祐次,1:43.9,ハナ,19.3,7,504(-2),[東] 田中博康
9,6,11,メイショウウズマサ,牡6,57,岩田康誠,1:44.2,1.3/4,4.1,2,504(0),[西] 安田隆行
10,1,1,ペオース,セ5,56,斎藤新,1:44.4,1.1/2,22.8,10,470(0),[西] 大久保龍
11,6,10,ミヤジコクオウ,牡5,57,古川吉洋,1:44.8,2.1/2,54.1,13,512(0),[西] 川村禎彦
12,2,2,アンセッドヴァウ,セ5,56,角田大和,1:44.8,クビ,112.3,14,446(-12),[西] 中竹和也
13,7,12,ダンツキャッスル,牡6,57,柴山雄一,1:45.4,3.1/2,35.7,11,496(+16),[西] 谷潔
14,7,13,ヴィーダ,セ7,56,勝浦正樹,1:45.7,2,46.4,12,450(-6),[東] 鈴木慎太
15,8,15,ケイティクレバー,牡7,56,亀田温心,1:46.4,4,168.8,15,462(0),[東] 清水英克
