着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,10,ダークペイジ,牝3,54,荻野極,1:09.7,,6.4,3.0,456(+4),[西] 吉村圭司
2,8,16,スンリ,牝4,55,秋山稔樹,1:09.7,アタマ,9.1,6.0,484(-4),[西] 清水久詞
3,8,15,ショウナンバービー,牝5,55,団野大成,1:09.7,ハナ,19.0,8.0,510(0),[東] 田中剛
4,5,9,クリノマジン,牡3,56,小沢大仁,1:09.7,ハナ,5.9,2.0,450(+2),[西] 高橋義忠
5,2,3,ブルースピリット,セ4,57,中井裕二,1:09.8,クビ,8.7,5.0,482(-12),[西] 中内田充
6,1,1,タマモティータイム,牝5,55,亀田温心,1:09.8,クビ,39.5,10.0,470(-4),[西] 南井克巳
7,4,7,サトノジヴェルニー,牡5,57,泉谷楓真,1:10.0,1.1/4,86.4,13.0,466(+6),[西] 音無秀孝
8,3,5,ルクルト,牡5,57,斎藤新,1:10.0,アタマ,8.5,4.0,462(+2),[西] 吉村圭司
9,6,11,セリシア,牝4,55,角田大和,1:10.1,1/2,9.7,7.0,460(-4),[西] 中竹和也
10,7,13,ダノンシティ,牡6,57,菱田裕二,1:10.1,クビ,55.4,11.0,490(+12),[西] 橋口慎介
11,3,6,グレイトゲイナー,牡5,57,丸山元気,1:10.2,1,19.5,9.0,482(+12),[西] 森秀行
12,2,4,オルダージュ,セ6,57,藤懸貴志,1:10.3,1/2,81.1,12.0,480(+4),[東] 青木孝文
13,1,2,テイエムトッキュウ,牡4,57,北村友一,1:10.4,1/2,3.2,1.0,506(+8),[西] 木原一良
14,7,14,レノーア,牝6,55,横山琉人,1:10.5,1/2,185.6,14.0,434(+4),[東] 相沢郁
15,6,12,ダイセンハッピー,牝4,55,大畑雅章,1:11.9,8,333.9,15.0,498(-2),[地] 今津博之
除,4,8,スイートクラウン,牝4,55,小林脩斗,,,---,,478(-14),[東] 石毛善彦
