着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,6,ディアマンミノル,牡5,54,荻野極,2:37.1,,5.2,3,470(+2),[西] 本田優
2,2,2,テンカハル,牡4,52,坂井瑠星,2:37.2,3/4,5.1,2,494(-8),[西] 矢作芳人
3,8,10,エフェクトオン,牡6,53,吉田隼人,2:37.7,3,5.9,5,446(-4),[東] 久保田貴
4,1,1,ボスジラ,牡6,56,岩田望来,2:37.7,ハナ,8.1,6,508(-6),[東] 国枝栄
5,4,4,ホウオウエクレール,牡5,53,藤岡康太,2:37.7,ハナ,5.4,4,496(-4),[西] 宮徹
6,7,8,タイセイモナーク,牡6,53,和田竜二,2:37.8,クビ,29.2,7,502(+2),[西] 西村真幸
7,3,3,アドマイヤアルバ,セ7,53,原田和真,2:37.8,アタマ,34.6,8,474(+4),[東] 堀内岳志
8,7,7,パトリック,牡6,54,ルメール,2:38.3,3.1/2,3.2,1,480(-8),[西] 岡田稲男
9,5,5,スーパーフェイバー,牡4,50,酒井学,2:38.4,アタマ,60.7,9,496(0),[西] 矢作芳人
10,8,9,シャンパンクーペ,牡6,53,荻野琢真,2:40.8,大,98.8,10,536(0),[西] 今野貞一
