着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,14,ウインカーネリアン,牡5,57,三浦皇成,1:32.9,,4.0,1,510(+2),[東] 鹿戸雄一
2,5,10,カイザーミノル,牡6,57,横山典弘,1:33.1,1.1/4,13.8,6,446(-8),[西] 北出成人
3,4,8,クラヴァシュドール,牝5,54,岩田望来,1:33.2,1/2,24.1,8,466(-4),[西] 中内田充
4,8,15,ラセット,牡7,57,西村淳也,1:33.2,ハナ,94.5,13,496(+2),[西] 庄野靖志
5,4,7,エアファンディタ,牡5,57,松山弘平,1:33.3,クビ,5.8,4,458(-2),[西] 池添学
6,1,1,ヴァリアメンテ,牡4,56,川田将雅,1:33.5,1,5.4,3,474(+2),[西] 中内田充
7,1,2,シャーレイポピー,牝4,54,福永祐一,1:33.5,ハナ,6.2,5,436(0),[西] 石坂公一
8,2,3,エントシャイデン,牡7,59,藤岡康太,1:33.5,アタマ,28.1,9,478(-4),[西] 矢作芳人
9,6,11,グラティアス,牡4,56,北村友一,1:33.9,2.1/2,5.2,2,492(-6),[東] 宮田敬介
10,5,9,エイシンチラー,牝4,54,坂井瑠星,1:34.2,1.3/4,13.9,7,474(0),[東] 田中剛
11,3,5,アーデントリー,牡6,56,富田暁,1:34.2,クビ,149.1,14,454(-6),[西] 川村禎彦
12,6,12,ミッキーブリランテ,牡6,58,和田竜二,1:34.3,1/2,55.9,10,470(-6),[西] 矢作芳人
13,7,13,キョウヘイ,牡8,56,高倉稜,1:34.4,クビ,223.3,16,446(+2),[西] 宮本博
14,2,4,スーパーフェザー,セ7,56,鮫島克駿,1:34.4,クビ,60.8,11,482(0),[西] 渡辺薫彦
15,8,16,クリスティ,牝5,55,松若風馬,1:35.8,8,68.4,12,492(+2),[西] 杉山晴紀
16,3,6,サトノフェイバー,牡7,57,秋山真一,1:37.7,大,161.2,15,504(0),[西] 南井克巳
