着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,6,6,ロングラン,セ4,57,荻野極,1:46.4,,66.6,10,468(-10),[東] 和田勇介
2,3,3,ヴァンルーラー,牝3,52,小沢大仁,1:46.4,ハナ,5.3,2,442(+2),[西] 吉岡辰弥
3,6,7,ミスフィガロ,牝4,55,川田将雅,1:46.4,クビ,1.8,1,424(0),[西] 友道康夫
4,8,11,マルモネオフォース,牝6,55,富田暁,1:46.9,3,41.8,8,518(0),[西] 木原一良
5,7,9,エイノスケ,牡4,57,吉村智洋,1:47.0,クビ,193.7,11,490(-13),[地] 土屋洋之
6,1,1,テーオーアマゾン,牡6,57,松山弘平,1:47.0,ハナ,13.4,5,486(+2),[西] 浜田多実
7,5,5,ジャッカル,牡4,57,坂井瑠星,1:47.0,アタマ,6.0,3,504(-2),[西] 吉岡辰弥
8,8,10,ケルンキングダム,セ6,57,小崎綾也,1:47.3,1.3/4,17.2,6,444(-2),[西] 小崎憲
9,2,2,ハローユニコーン,牝8,55,和田竜二,1:47.4,1/2,45.8,9,476(-4),[西] 鮫島一歩
10,7,8,セグレドスペリオル,牡6,57,藤懸貴志,1:47.6,1.1/4,8.2,4,482(-6),[西] 宮本博
11,4,4,ジャルジェ,牝5,55,岩田望来,1:47.9,1.3/4,27.5,7,502(+4),[西] 千田輝彦
