着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,3,アルナシーム,牡3,55,福永祐一,1:32.5,,2.1,1,432(+6),[西] 橋口慎介
2,2,2,ララヴォルシエル,牡3,55,和田竜二,1:32.8,1.1/2,2.6,2,428(-4),[西] 辻野泰之
3,4,4,トーホウディアス,牡4,57,武豊,1:32.8,クビ,12.4,4,444(+4),[西] 南井克巳
4,1,1,ペドラフォルカ,牝4,55,古川吉洋,1:33.4,3.1/2,56.2,9,464(+2),[西] 上村洋行
5,4,5,ヴァンルーラー,牝3,53,小沢大仁,1:33.4,クビ,13.8,5,452(0),[西] 吉岡辰弥
6,8,13,マテンロウエール,牡4,57,横山典弘,1:33.5,クビ,7.3,3,524(-2),[西] 松永幹夫
7,6,8,テーオーアマゾン,牡6,57,池添謙一,1:33.5,ハナ,45.0,7,490(+2),[西] 浜田多実
8,5,6,ジャッカル,牡4,57,松山弘平,1:33.5,クビ,46.3,8,502(+4),[西] 吉岡辰弥
9,7,10,デルマセイシ,牝4,55,松若風馬,1:33.6,1/2,89.6,11,476(-8),[西] 音無秀孝
10,5,7,サヴァイヴ,牡5,57,鮫島克駿,1:33.6,ハナ,39.9,6,480(0),[西] 清水久詞
11,7,11,メイショウドウドウ,牡7,57,団野大成,1:33.8,3/4,78.3,10,480(-10),[西] 荒川義之
12,8,12,マルモネオフォース,牝6,55,富田暁,1:34.0,1.1/2,128.7,13,522(+4),[西] 木原一良
13,6,9,ハローユニコーン,牝8,55,坂井瑠星,1:34.0,ハナ,107.6,12,482(+4),[西] 鮫島一歩
