着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,7,スタニングローズ,牝3,55,坂井瑠星,1:58.6,,5.7,3,488(0),[西] 高野友和
2,4,8,ナミュール,牝3,55,横山武史,1:58.7,1/2,3.3,2,446(+20),[西] 高野友和
3,5,9,スターズオンアース,牝3,55,ルメール,1:58.7,ハナ,3.0,1,472(+8),[東] 高柳瑞樹
4,3,6,メモリーレゾン,牝3,55,古川吉洋,1:59.0,2,69.4,13,446(-2),[西] 長谷川浩
5,5,10,アートハウス,牝3,55,川田将雅,1:59.0,ハナ,6.7,4,472(-4),[西] 中内田充
6,6,11,エグランタイン,牝3,55,池添謙一,1:59.0,アタマ,40.3,11,442(-6),[西] 笹田和秀
7,8,15,サウンドビバーチェ,牝3,55,岩田望来,1:59.0,ハナ,52.1,12,486(-2),[西] 高柳大輔
8,3,5,ストーリア,牝3,55,松山弘平,1:59.0,ハナ,38.6,9,494(0),[西] 杉山晴紀
9,8,16,プレサージュリフト,牝3,55,戸崎圭太,1:59.2,3/4,14.6,5,462(-6),[東] 木村哲也
10,1,2,ライラック,牝3,55,Ｍ．デム,1:59.4,1.1/2,19.9,6,432(-2),[東] 相沢郁
11,1,1,ウインエクレール,牝3,55,松岡正海,1:59.4,クビ,35.9,7,468(-6),[東] 畠山吉宏
12,6,12,ウォーターナビレラ,牝3,55,武豊,1:59.4,ハナ,40.2,10,468(0),[西] 武幸四郎
13,7,13,エリカヴィータ,牝3,55,福永祐一,1:59.5,クビ,36.2,8,458(+18),[東] 国枝栄
14,2,4,ラブパイロー,牝3,55,酒井学,1:59.8,1.3/4,320.1,16,480(+6),[東] 大和田成
15,2,3,タガノフィナーレ,牝3,55,鮫島克駿,1:59.9,1,224.8,15,484(-4),[西] 中村直也
16,7,14,ブライトオンベイス,牝3,55,秋山真一,2:00.5,3.1/2,165.7,14,456(+6),[西] 清水久詞
